Education,Initial_Capital,Financial_Record_Keeping,Internet_Usage,Business_Plan,Marketing_Effort,Partnership,Parent_Business_Experience,Industry_Experience,Professional_Advice,Success
4,0,0,1,0,7,1,1,18,2,0
2,0,0,1,1,1,1,0,8,7,0
5,1,0,0,1,3,0,0,0,7,0
2,1,0,0,1,2,1,1,13,4,0
3,1,0,0,0,7,0,1,12,2,0
1,1,0,0,1,6,1,0,8,6,0
1,0,1,0,0,4,0,1,17,2,0
1,0,0,0,1,4,1,0,4,4,0
5,0,0,1,1,2,1,1,1,5,0
4,0,0,0,0,2,0,1,5,1,0
3,1,1,0,0,1,0,1,16,3,0
1,1,1,0,1,7,1,0,16,3,1
5,0,0,1,0,3,0,0,18,6,0
2,1,1,0,0,6,0,0,20,4,0
4,0,1,1,0,5,1,0,12,5,0
3,0,0,0,0,3,0,0,16,1,0
4,1,1,1,0,6,1,1,17,5,1
2,1,1,0,1,1,0,0,15,2,0
4,1,1,0,1,4,0,0,16,7,1
2,0,1,0,0,5,0,0,16,6,0
4,1,1,0,1,1,1,1,18,1,1
4,1,0,1,0,1,1,1,19,2,0
4,0,0,1,0,6,1,0,4,4,0
5,0,1,0,1,7,1,1,0,5,0
5,0,1,1,1,4,0,1,12,7,1
1,0,1,0,0,5,0,0,19,2,0
1,1,0,1,0,2,0,0,8,7,0
2,0,1,1,1,7,1,1,4,5,1
1,0,1,1,0,1,1,0,15,3,0
1,0,0,1,0,3,1,1,3,2,0
2,0,1,0,0,6,1,0,18,7,0
1,1,0,1,1,4,0,0,15,6,1
1,1,0,0,0,6,1,0,15,5,0
3,0,0,0,0,7,1,0,17,4,0
5,0,0,0,0,6,0,0,8,5,0
1,0,0,0,0,5,0,1,20,4,0
4,1,0,1,0,4,1,1,3,5,0
4,0,1,0,0,1,0,0,2,2,0
4,0,1,1,1,2,1,0,5,5,0
1,1,1,0,0,1,0,1,11,2,0
3,0,0,0,1,5,0,1,8,4,0
4,0,0,1,0,7,0,1,17,7,0
3,0,0,1,1,3,1,0,5,1,0
1,1,0,1,0,4,1,1,11,2,0
5,1,1,0,1,6,1,1,11,7,1
5,0,0,0,0,6,0,0,8,2,0
4,1,0,0,0,2,0,1,1,7,0
2,0,0,1,0,7,1,1,3,1,0
4,0,0,1,1,6,1,0,4,5,0
4,1,1,1,1,2,0,0,13,4,1
1,0,1,0,0,6,0,1,8,1,0
3,0,1,1,0,7,0,1,8,2,0
1,1,1,1,1,7,0,0,13,7,1
1,0,0,1,1,7,0,1,12,5,1
3,0,1,1,1,3,0,1,14,4,1
3,0,1,0,1,3,0,0,14,1,0
2,0,1,1,1,6,1,0,6,3,1
1,1,0,0,0,7,0,1,1,6,0
4,1,0,0,0,5,1,0,14,4,0
3,0,0,0,1,4,1,0,7,3,0
2,0,1,0,1,5,0,1,19,1,0
4,0,0,0,1,6,0,1,1,5,0
4,0,0,1,1,5,0,1,17,7,1
1,1,0,1,0,5,1,1,0,5,0
1,1,0,1,0,2,1,0,6,6,0
1,1,1,0,1,3,0,0,9,2,0
3,0,1,1,1,6,0,1,5,6,1
2,0,1,0,1,7,0,0,2,6,0
5,0,0,0,1,1,0,0,5,7,0
4,1,0,0,1,3,1,0,10,3,0
3,0,1,0,0,3,1,0,1,6,0
4,0,0,0,1,1,1,1,0,7,0
1,1,0,0,1,6,0,1,7,4,0
1,0,0,0,0,6,1,1,2,5,0
5,1,1,0,0,1,0,1,3,1,0
3,0,1,1,0,4,0,1,1,3,0
1,0,0,1,1,6,0,0,12,6,0
3,1,0,0,1,7,0,1,5,1,0
4,0,1,0,0,7,1,0,10,6,0
2,0,0,0,1,2,1,1,14,3,0
3,1,1,0,1,2,0,1,8,2,1
2,1,1,1,0,3,0,0,8,5,1
4,1,0,0,1,5,0,1,13,7,1
1,0,1,1,0,5,1,0,3,5,0
2,1,1,0,1,2,0,0,0,3,0
4,1,1,1,0,1,0,0,11,5,1
2,1,0,0,1,6,0,0,8,4,0
2,1,0,1,1,5,0,0,13,2,1
2,1,0,1,0,2,0,1,10,6,0
1,0,1,0,0,3,1,1,16,2,0
5,1,1,0,0,1,0,0,3,5,0
3,1,1,1,0,1,0,0,9,7,1
1,0,1,1,1,5,0,0,20,3,1
1,0,0,1,1,3,0,0,3,7,0
1,1,0,1,1,4,1,1,0,2,0
1,1,0,0,1,5,0,1,1,4,0
4,0,0,1,1,1,1,1,6,5,0
5,1,1,0,0,5,0,1,11,1,0
5,1,0,0,0,2,1,1,14,1,0
2,1,1,0,1,4,0,0,12,6,1
3,1,1,1,1,6,1,0,18,5,1
3,0,0,0,0,2,1,0,9,1,0
1,1,1,1,0,6,0,0,8,4,1
2,0,1,0,0,4,0,1,14,1,0
4,0,1,1,0,6,0,1,1,3,0
4,1,0,0,1,3,0,0,5,7,0
5,0,0,0,0,7,1,0,3,7,0
2,0,1,0,0,3,1,0,17,7,0
3,0,0,0,0,4,1,0,10,5,0
4,1,1,1,0,2,0,0,1,1,0
3,1,1,1,0,6,0,1,19,5,1
4,1,0,1,1,4,0,0,15,2,0
3,1,1,1,1,2,0,1,5,3,1
4,0,1,1,0,6,1,1,8,2,0
4,1,1,1,1,1,0,1,1,3,1
4,1,0,1,1,3,1,1,8,7,1
4,1,1,0,1,2,0,1,14,2,1
3,1,1,1,1,7,1,0,12,3,1
1,1,0,0,1,3,0,0,7,3,0
1,0,0,1,0,1,0,1,0,6,0
5,0,1,0,1,6,0,0,15,4,0
3,0,1,0,1,2,0,0,10,1,0
1,0,1,0,0,2,0,0,18,6,0
4,0,1,0,0,4,0,0,19,3,0
5,1,1,1,1,3,0,0,11,6,1
2,1,0,0,1,6,0,0,20,7,0
1,1,0,0,0,2,0,1,18,4,0
1,0,0,1,0,2,0,0,6,7,0
5,1,0,0,1,4,1,1,4,1,0
4,0,1,0,0,3,1,0,7,3,0
3,1,1,1,1,4,0,0,20,3,1
2,1,1,1,1,6,0,1,19,7,1
4,1,0,0,1,3,0,0,20,3,0
3,1,0,1,1,7,1,1,8,1,1
3,0,0,1,0,4,1,0,9,1,0
1,0,1,1,1,3,0,0,3,7,0
3,0,1,1,0,3,0,0,5,7,0
4,1,1,0,0,6,1,0,11,1,0
3,0,1,0,1,4,1,0,12,5,0
4,0,1,1,1,2,0,0,0,5,0
2,0,1,1,0,2,0,0,20,5,0
3,0,0,1,0,4,1,1,4,6,0
5,1,0,1,1,5,1,0,8,4,1
5,0,1,0,0,1,0,0,16,7,0
4,0,1,0,0,2,0,1,8,3,0
4,1,0,1,1,3,0,0,0,7,0
5,0,1,0,0,3,1,0,20,2,0
4,1,0,0,1,2,1,1,0,3,0
4,0,0,1,0,1,0,0,14,1,0
3,1,1,1,0,7,1,0,11,4,1
3,1,0,1,1,3,1,0,4,3,0
4,0,0,1,1,1,1,1,20,1,0
3,1,1,0,1,2,0,0,20,7,1
1,1,1,0,1,3,0,1,8,5,1
3,1,1,1,0,3,1,0,20,1,0
1,0,1,1,1,3,1,0,12,6,1
2,0,0,0,0,1,0,1,19,2,0
4,1,0,0,0,4,0,0,13,1,0
3,1,0,0,0,4,0,1,16,5,0
5,1,1,1,1,3,0,1,12,4,1
5,1,0,1,1,4,0,0,10,3,0
3,0,0,1,0,3,1,1,10,3,0
3,1,0,0,1,6,0,0,20,3,0
1,1,0,1,0,4,1,1,1,1,0
1,0,1,1,0,3,1,0,1,7,0
3,1,1,0,1,2,1,0,9,4,0
3,1,1,1,0,7,0,0,17,2,1
5,1,0,1,0,6,1,0,19,3,0
1,1,1,1,1,2,1,0,12,6,1
5,0,1,0,0,3,0,0,17,7,0
3,1,0,1,1,7,1,1,6,4,1
2,1,0,0,0,2,0,1,5,4,0
5,1,1,0,1,4,0,0,7,2,0
1,0,0,0,0,3,1,0,5,2,0
4,1,0,1,1,5,1,0,4,5,1
2,1,1,0,1,6,1,0,14,5,1
4,0,0,1,0,2,0,0,15,6,0
5,1,0,0,0,1,0,0,3,3,0
2,0,1,1,1,2,0,0,8,7,1
1,1,0,0,1,6,1,1,3,1,0
1,0,0,1,0,1,0,1,13,7,0
1,1,0,0,1,3,1,0,16,1,0
2,1,0,1,0,1,0,0,13,5,0
5,0,1,0,1,7,1,1,16,6,1
4,0,0,1,1,6,1,1,19,7,1
5,0,0,0,0,6,0,0,7,6,0
5,1,1,1,1,1,0,1,20,5,1
1,0,0,0,0,3,1,1,15,1,0
1,0,1,0,1,4,0,1,1,6,0
2,1,0,0,1,2,1,0,8,2,0
3,1,0,0,1,7,1,1,7,1,0
5,0,1,0,1,7,1,1,0,3,0
1,1,0,1,1,5,0,0,1,7,1
5,0,0,1,0,7,0,0,2,6,0
2,0,0,0,0,6,1,1,5,6,0
4,0,1,0,1,5,0,1,12,3,0
5,1,1,1,1,7,1,0,1,6,1
2,1,0,0,1,4,1,0,19,7,0
5,1,1,0,0,7,0,1,13,2,0
3,1,1,0,1,5,0,0,2,4,0
2,1,0,0,1,3,1,1,6,1,0
2,0,0,0,1,2,1,1,10,5,0
5,0,1,0,1,5,1,1,12,2,0
3,0,1,0,1,7,0,1,5,5,0
